iter	RMSE
192	1696.535324
193	1696.134582
194	1695.579872
195	1695.135185
196	1694.385297
197	1694.032283
198	1693.497664
199	1693.201454
200	1692.473433
201	1692.202026
202	1691.695566
203	1690.820892
204	1690.43007
205	1689.622395
206	1689.205505
207	1688.942044
208	1688.270143
209	1687.727747
210	1687.269683
211	1686.473471
212	1686.004034
213	1685.41122
214	1685.099848
215	1684.988601
216	1684.646093
217	1684.283362
218	1683.79935
219	1683.499671
220	1682.928117
221	1682.280507
222	1681.550047
223	1681.265075
224	1680.86323
225	1680.247535
226	1679.680184
227	1679.061572
228	1678.610528
229	1677.795752
230	1677.309859
231	1676.792698
232	1676.470872
233	1676.003356
234	1675.268194
235	1674.767966
236	1674.173777
237	1673.707356
238	1673.341833
239	1673.136007
240	1672.180595
241	1672.0108
242	1671.41351
243	1671.203953
244	1670.888911
245	1670.511462
246	1670.009116
247	1669.9396
248	1669.711838
249	1669.40861
250	1668.81507
251	1668.427668
252	1668.158916
253	1667.958942
254	1667.802736
255	1667.296696
256	1666.911964
257	1666.440876
258	1665.914926
259	1665.480114
260	1665.055657
261	1664.352916
262	1664.224569
263	1664.167833
264	1663.739004
265	1663.490936
266	1663.122823
267	1662.513514
268	1661.987112
269	1661.862271
270	1661.353315
271	1661.059805
272	1660.545456
273	1660.30603
274	1659.833983
275	1659.438744
276	1659.013873
277	1658.708606
278	1658.451754
279	1658.097775
280	1657.86162
281	1657.581067
282	1657.275959
283	1656.787208
284	1656.252436
285	1655.851924
286	1655.278914
287	1654.979674
288	1654.872494
289	1654.514824
290	1654.336845
291	1654.13649
292	1653.864767
293	1653.552814
294	1653.069077
295	1652.504251
296	1652.080846
297	1651.768657
298	1651.327402
299	1651.070503
300	1650.963326
301	1650.528794
302	1650.330253
303	1649.992555
304	1649.550345
305	1649.012546
306	1648.902632
307	1648.525724
308	1647.894383
309	1647.590162
310	1647.245332
311	1647.169463
312	1646.784807
313	1646.433436
314	1646.131023
315	1645.957013
316	1645.506409
317	1645.032591
318	1644.942208
319	1644.638939
320	1644.467807
321	1644.08464
322	1644.031088
323	1643.851339
324	1643.598785
325	1643.392812
326	1643.296389
327	1643.061046
328	1642.875888
329	1642.664857
330	1642.063116
331	1641.798579
332	1641.562846
333	1641.185047
334	1640.975064
335	1640.742628
336	1640.705463
337	1640.494497
338	1640.230652
339	1640.208545
340	1639.989451
341	1639.90589
342	1639.515676
343	1639.396593
344	1638.993238
345	1638.726733
346	1638.432884
347	1638.171906
348	1637.836667
349	1637.673852
350	1637.4267
351	1637.048656
352	1636.836972
353	1636.577593
354	1636.357742
355	1636.119534
356	1636.046662
357	1635.774109
358	1635.6618
359	1635.291627
360	1635.173979
361	1634.856105
362	1634.532233
363	1634.160169
364	1633.76976
365	1633.655509
366	1633.379492
367	1632.914974
368	1632.772147
369	1632.300201
370	1632.120792
371	1631.971251
372	1631.899117
373	1631.616271
374	1631.349442
375	1631.099562
376	1630.711468
377	1630.258902
378	1630.19613
379	1630.017677
380	1629.920637
381	1629.63833
382	1629.398474
383	1629.207045
384	1628.94857
385	1628.744809
386	1628.406292
387	1628.073338
388	1627.708
389	1627.662829
390	1627.402746
391	1627.333211
392	1627.023596
393	1626.904337
394	1626.737298
395	1626.479789
396	1626.260566
397	1626.110814
398	1625.977326
399	1625.605943
400	1625.510746
401	1625.20985
402	1625.082508
403	1624.910927
404	1624.781165
405	1624.63945
406	1624.167102
407	1624.023665
408	1623.950929
409	1623.677543
410	1623.588739
411	1623.556888
412	1623.380946
413	1623.25373
414	1623.144801
415	1622.892382
416	1622.675631
417	1622.551126
418	1622.348603
419	1622.268154
420	1622.029306
421	1621.583594
422	1621.268245
423	1621.194977
424	1620.807018
425	1620.651015
426	1620.357099
427	1620.275674
428	1620.13436
429	1620.128131
430	1620.077869
431	1619.803927
432	1619.740018
433	1619.404742
434	1619.025857
435	1619.010165
436	1618.740728
437	1618.582136
438	1618.387019
439	1618.222688
440	1617.922873
441	1617.542382
442	1617.461466
443	1617.400151
444	1617.215281
445	1616.99593
446	1616.805763
447	1616.576619
448	1616.220248
449	1615.915561
450	1615.75346
451	1615.418515
452	1615.293363
453	1615.261776
454	1615.117924
455	1614.892182
456	1614.803006
457	1614.623025
458	1614.39186
459	1614.250923
460	1614.029579
461	1613.967001
462	1613.812428
463	1613.636996
464	1613.465403
465	1613.223099
466	1612.871194
467	1612.631567
468	1612.53697
469	1612.532591
470	1612.402357
471	1612.210127
472	1612.06254
473	1611.715202
474	1611.403805
475	1611.319906
476	1611.191442
477	1611.018576
478	1610.889367
479	1610.502716
480	1610.292798
481	1610.244248
482	1610.139435
483	1609.998085
484	1609.857123
485	1609.800564
486	1609.609008
487	1609.589414
488	1609.302291
489	1609.131986
490	1608.751084
491	1608.635336
492	1608.383548
493	1608.2138
494	1608.035636
495	1607.767935
496	1607.642401
497	1607.375411
498	1607.263481
499	1607.201442
500	1606.952699
501	1606.894195
502	1606.643857
503	1606.467766
504	1606.178062
505	1606.088499
506	1606.020293
507	1605.71308
508	1605.327817
509	1605.119311
510	1604.982087
511	1604.860415
512	1604.74909
513	1604.745256
514	1604.505083
515	1604.409564
516	1604.232311
517	1603.949889
518	1603.691923
519	1603.677794
520	1603.542764
521	1603.324654
522	1603.281321
523	1602.992476
524	1602.862229
525	1602.601283
526	1602.488399
527	1602.131479
528	1601.901041
529	1601.799946
530	1601.788975
531	1601.670684
532	1601.414475
533	1601.291024
534	1601.116264
535	1601.113982
536	1601.06968
537	1600.765991
538	1600.399674
539	1600.206531
540	1600.106535
541	1599.759372
542	1599.399291
543	1599.277622
544	1599.153302
545	1599.140845
546	1598.967508
547	1598.617863
548	1598.527901
549	1598.389905
550	1598.30484
551	1598.174818
552	1597.809409
553	1597.76868
554	1597.559797
555	1597.496114
556	1597.249899
557	1597.109977
558	1596.877618
559	1596.710584
560	1596.693568
561	1596.415348
562	1596.283597
563	1596.169023
564	1596.019609
565	1595.921255
566	1595.665731
567	1595.562534
568	1595.452105
569	1595.381946
570	1595.278893
571	1595.15976
572	1594.869954
573	1594.868132
574	1594.820248
575	1594.609459
576	1594.592106
577	1594.537055
578	1594.328953
579	1594.294873
580	1594.246753
581	1594.071758
582	1593.963063
583	1593.830512
584	1593.6703
585	1593.585136
586	1593.378094
587	1593.310758
588	1593.298815
589	1592.985171
590	1592.888493
591	1592.687186
592	1592.633848
593	1592.60852
594	1592.478177
595	1592.2708
596	1592.188086
597	1591.988515
598	1591.951238
599	1591.931217
600	1591.662305
601	1591.495509
602	1591.340892
603	1591.147239
604	1590.976808
605	1590.974682
606	1590.907414
607	1590.620689
608	1590.409883
609	1590.236239
610	1590.073925
611	1589.923691
612	1589.856996
613	1589.778693
614	1589.462692
615	1589.460321
616	1589.319707
617	1589.074524
618	1588.913351
619	1588.75205
620	1588.613743
621	1588.381271
622	1588.289535
623	1587.974958
624	1587.938779
625	1587.937168
626	1587.839037
627	1587.707283
628	1587.639738
629	1587.399196
630	1587.30161
631	1587.257677
632	1587.248676
633	1587.148287
634	1586.987558
635	1586.926406
636	1586.796441
637	1586.748732
638	1586.419486
639	1586.128875
640	1586.071879
641	1586.039063
642	1585.902785
643	1585.618361
644	1585.483961
645	1585.422221
646	1585.186377
647	1584.966068
648	1584.832515
649	1584.69162
650	1584.571023
651	1584.569469
652	1584.478428
653	1584.412568
654	1584.211141
655	1584.036706
656	1583.967284
657	1583.810952
658	1583.778801
659	1583.668112
660	1583.542845
661	1583.294217
662	1583.162061
663	1583.020157
664	1582.740423
665	1582.737818
666	1582.653642
667	1582.470756
668	1582.362493
669	1582.287388
670	1582.086425
671	1581.876322
672	1581.847963
673	1581.710152
674	1581.639845
675	1581.3682
676	1581.322199
677	1581.211364
678	1581.132965
679	1580.967291
680	1580.888923
681	1580.815619
682	1580.73389
683	1580.60484
684	1580.451722
685	1580.301209
686	1580.146586
687	1580.125607
688	1579.944589
689	1579.845692
690	1579.530741
691	1579.439551
692	1579.340555
693	1579.183884
694	1579.154856
695	1579.131435
696	1578.987636
697	1578.972395
698	1578.959932
699	1578.890824
700	1578.757017
701	1578.624317
702	1578.53917
703	1578.378517
704	1578.115567
705	1578.083976
706	1578.060363
707	1577.970869
708	1577.854817
709	1577.717272
710	1577.613679
711	1577.490856
712	1577.367338
713	1577.257427
714	1577.216731
715	1577.183412
716	1577.108476
717	1577.075894
718	1577.065958
719	1576.955476
720	1576.84942
721	1576.556043
722	1576.288769
723	1576.122335
724	1575.929488
725	1575.680223
726	1575.579941
727	1575.551809
728	1575.490721
729	1575.470733
730	1575.303527
731	1575.105814
732	1575.000716
733	1574.912073
734	1574.757855
735	1574.452087
736	1574.371626
737	1574.363232
738	1574.307907
739	1574.251761
740	1573.9479
741	1573.885484
742	1573.736481
743	1573.488408
744	1573.458826
745	1573.454169
746	1573.380083
747	1573.338663
748	1573.336174
749	1573.173358
750	1573.018077
751	1572.944139
752	1572.652471
753	1572.558558
754	1572.442759
755	1572.236187
756	1572.164874
757	1572.082884
758	1571.896077
759	1571.684075
760	1571.629521
761	1571.538204
762	1571.338832
763	1571.149108
764	1570.986769
765	1570.985018
766	1570.770883
767	1570.636158
768	1570.472045
769	1570.30471
770	1570.162012
771	1570.083096
772	1569.98701
773	1569.984541
774	1569.929017
775	1569.896993
776	1569.795766
777	1569.735045
778	1569.638502
779	1569.542484
780	1569.258416
781	1568.980416
782	1568.979479
783	1568.766771
784	1568.69556
785	1568.568486
786	1568.162713
787	1567.989519
788	1567.828082
789	1567.762643
790	1567.721542
791	1567.693553
792	1567.635868
793	1567.513527
794	1567.35867
795	1567.241433
796	1567.002056
797	1566.916581
798	1566.836323
799	1566.744992
800	1566.488762
801	1566.362201
802	1566.320481
803	1566.107608
804	1565.965692
805	1565.744484
806	1565.56343
807	1565.452071
808	1565.432765
809	1565.343955
810	1565.227185
811	1565.207706
812	1565.095966
813	1564.82988
814	1564.653783
815	1564.487468
816	1564.36812
817	1564.317218
818	1564.289583
819	1564.141522
820	1563.912611
821	1563.830465
822	1563.635029
823	1563.544668
824	1563.50732
825	1563.370429
826	1563.29205
827	1563.216585
828	1562.918523
829	1562.778601
830	1562.681431
831	1562.560731
832	1562.423046
833	1562.395293
834	1562.278372
835	1562.167309
836	1562.031915
837	1561.95462
838	1561.927818
839	1561.789435
840	1561.717226
841	1561.712896
842	1561.586241
843	1561.344217
844	1561.282506
845	1561.153012
846	1561.071912
847	1560.988042
848	1560.90439
849	1560.761202
850	1560.566172
851	1560.393531
852	1560.35754
853	1560.344873
854	1560.171229
855	1560.046254
856	1559.943752
857	1559.906105
858	1559.761285
859	1559.672532
860	1559.494607
861	1559.403696
862	1559.374315
863	1559.313699
864	1559.208968
865	1559.183754
866	1558.992836
867	1558.975006
868	1558.96101
869	1558.892064
870	1558.779107
871	1558.697562
872	1558.658536
873	1558.540414
874	1558.470248
875	1558.407943
876	1558.322971
877	1558.149482
878	1558.076443
879	1558.018298
880	1557.985952
881	1557.98497
882	1557.893825
883	1557.767489
884	1557.643626
885	1557.575815
886	1557.485982
887	1557.34564
888	1557.32305
889	1557.223559
890	1557.213945
891	1557.16246
892	1557.112099
893	1556.9346
894	1556.835413
895	1556.805128
896	1556.690702
897	1556.631191
898	1556.613406
899	1556.580589
900	1556.481187
901	1556.415557
902	1556.371542
903	1556.268958
904	1556.238374
905	1556.088623
906	1555.946478
907	1555.866504
908	1555.816111
909	1555.75904
910	1555.725713
911	1555.725219
912	1555.68132
913	1555.534478
914	1555.457906
915	1555.300019
916	1555.170441
917	1555.031884
918	1554.850925
919	1554.802407
920	1554.620406
921	1554.459631
922	1554.368203
923	1554.312535
924	1554.300218
925	1554.208171
926	1554.060766
927	1554.044862
928	1554.00322
929	1553.833664
930	1553.698605
931	1553.571012
932	1553.388663
933	1553.370188
934	1553.217681
935	1553.187215
936	1553.026161
937	1552.874706
938	1552.822025
939	1552.761954
940	1552.715439
941	1552.593492
942	1552.575764
943	1552.4099
944	1552.397351
945	1552.282423
946	1552.279117
947	1552.153933
948	1552.058443
949	1552.042613
950	1551.96979
951	1551.854442
952	1551.774686
953	1551.68719
954	1551.388142
955	1551.237606
956	1551.192755
957	1551.111398
958	1551.074784
959	1551.065571
960	1551.007064
961	1550.975574
962	1550.861478
963	1550.779938
964	1550.687951
965	1550.621903
966	1550.451071
967	1550.43708
968	1550.264042
969	1550.085081
970	1550.0655
971	1550.055581
972	1550.022589
973	1549.970396
974	1549.927691
975	1549.82326
976	1549.808539
977	1549.747612
978	1549.712491
979	1549.5007
980	1549.40351
981	1549.374303
982	1549.245146
983	1549.2004
984	1549.017169
985	1548.970813
986	1548.864504
987	1548.826796
988	1548.661685
989	1548.641278
990	1548.620838
991	1548.527063
992	1548.509346
993	1548.471029
994	1548.35285
995	1548.321256
996	1548.129263
997	1547.740486
998	1547.680184
999	1547.617674
